x-axis,2
second,Volt
-2.500000E-03,+1.646953540E+00
-2.497500E-03,+1.641928414E+00
-2.495000E-03,+1.646953540E+00
-2.492500E-03,+1.646953540E+00
-2.490000E-03,+1.646953540E+00
-2.487500E-03,+1.631878163E+00
-2.485000E-03,+1.646953540E+00
-2.482500E-03,+1.646953540E+00
-2.480000E-03,+1.626853038E+00
-2.477500E-03,+1.646953540E+00
-2.475000E-03,+1.636903289E+00
-2.472500E-03,+1.631878163E+00
-2.470000E-03,+1.646953540E+00
-2.467500E-03,+1.646953540E+00
-2.465000E-03,+1.636903289E+00
-2.462500E-03,+1.646953540E+00
-2.460000E-03,+1.626853038E+00
-2.457500E-03,+1.651978665E+00
-2.455000E-03,+1.646953540E+00
-2.452500E-03,+1.631878163E+00
-2.450000E-03,+1.646953540E+00
-2.447500E-03,+1.646953540E+00
-2.445000E-03,+1.646953540E+00
-2.442500E-03,+1.631878163E+00
-2.440000E-03,+1.646953540E+00
-2.437500E-03,+1.646953540E+00
-2.435000E-03,+1.636903289E+00
-2.432500E-03,+1.646953540E+00
-2.430000E-03,+1.646953540E+00
-2.427500E-03,+1.651978665E+00
-2.425000E-03,+1.646953540E+00
-2.422500E-03,+1.631878163E+00
-2.420000E-03,+1.626853038E+00
-2.417500E-03,+1.646953540E+00
-2.415000E-03,+1.636903289E+00
-2.412500E-03,+1.646953540E+00
-2.410000E-03,+1.646953540E+00
-2.407500E-03,+1.641928414E+00
-2.405000E-03,+1.646953540E+00
-2.402500E-03,+1.646953540E+00
-2.400000E-03,+1.646953540E+00
-2.397500E-03,+1.626853038E+00
-2.395000E-03,+1.646953540E+00
-2.392500E-03,+1.646953540E+00
-2.390000E-03,+1.646953540E+00
-2.387500E-03,+1.631878163E+00
-2.385000E-03,+1.646953540E+00
-2.382500E-03,+1.646953540E+00
-2.380000E-03,+1.646953540E+00
-2.377500E-03,+1.646953540E+00
-2.375000E-03,+1.646953540E+00
-2.372500E-03,+1.641928414E+00
-2.370000E-03,+1.646953540E+00
-2.367500E-03,+1.626853038E+00
-2.365000E-03,+1.636903289E+00
-2.362500E-03,+1.646953540E+00
-2.360000E-03,+1.646953540E+00
-2.357500E-03,+1.641928414E+00
-2.355000E-03,+1.636903289E+00
-2.352500E-03,+1.646953540E+00
-2.350000E-03,+1.646953540E+00
-2.347500E-03,+1.641928414E+00
-2.345000E-03,+1.657003791E+00
-2.342500E-03,+1.646953540E+00
-2.340000E-03,+1.646953540E+00
-2.337500E-03,+1.662028917E+00
-2.335000E-03,+1.657003791E+00
-2.332500E-03,+1.646953540E+00
-2.330000E-03,+1.626853038E+00
-2.327500E-03,+1.626853038E+00
-2.325000E-03,+1.657003791E+00
-2.322500E-03,+1.631878163E+00
-2.320000E-03,+1.667054042E+00
-2.317500E-03,+1.641928414E+00
-2.315000E-03,+1.626853038E+00
-2.312500E-03,+1.662028917E+00
-2.310000E-03,+1.646953540E+00
-2.307500E-03,+1.646953540E+00
-2.305000E-03,+1.636903289E+00
-2.302500E-03,+1.641928414E+00
-2.300000E-03,+1.626853038E+00
-2.297500E-03,+1.631878163E+00
-2.295000E-03,+1.636903289E+00
-2.292500E-03,+1.641928414E+00
-2.290000E-03,+1.646953540E+00
-2.287500E-03,+1.631878163E+00
-2.285000E-03,+1.626853038E+00
-2.282500E-03,+1.646953540E+00
-2.280000E-03,+1.667054042E+00
-2.277500E-03,+1.631878163E+00
-2.275000E-03,+1.636903289E+00
-2.272500E-03,+1.662028917E+00
-2.270000E-03,+1.646953540E+00
-2.267500E-03,+1.626853038E+00
-2.265000E-03,+1.646953540E+00
-2.262500E-03,+1.646953540E+00
-2.260000E-03,+1.646953540E+00
-2.257500E-03,+1.662028917E+00
-2.255000E-03,+1.646953540E+00
-2.252500E-03,+1.626853038E+00
-2.250000E-03,+1.626853038E+00
-2.247500E-03,+1.662028917E+00
-2.245000E-03,+1.657003791E+00
-2.242500E-03,+1.646953540E+00
-2.240000E-03,+1.626853038E+00
-2.237500E-03,+1.631878163E+00
-2.235000E-03,+1.646953540E+00
-2.232500E-03,+1.631878163E+00
-2.230000E-03,+1.646953540E+00
-2.227500E-03,+1.651978665E+00
-2.225000E-03,+1.636903289E+00
-2.222500E-03,+1.651978666E+00
-2.220000E-03,+1.646953540E+00
-2.217500E-03,+1.646953540E+00
-2.215000E-03,+1.657003791E+00
-2.212500E-03,+1.641928414E+00
-2.210000E-03,+1.626853038E+00
-2.207500E-03,+1.646953540E+00
-2.205000E-03,+1.646953540E+00
-2.202500E-03,+1.626853038E+00
-2.200000E-03,+1.646953540E+00
-2.197500E-03,+1.631878163E+00
-2.195000E-03,+1.626853038E+00
-2.192500E-03,+1.631878163E+00
-2.190000E-03,+1.646953540E+00
-2.187500E-03,+1.646953540E+00
-2.185000E-03,+1.646953540E+00
-2.182500E-03,+1.651978666E+00
